Date,FY,Period,Entity,Department,Category,Account,CostType,DataType,Amount,Currency
2025-05-31,FY25,2025-05,UK,HR,Professional Services,5xxx,Direct,Budget,1804.8,GBP
2025-05-31,FY25,2025-05,UK,HR,Professional Services,5xxx,Direct,Actual,1810.76,GBP
2025-05-31,FY25,2025-05,UK,Sales,Payroll,5xxx,Indirect,Budget,58956.8,GBP
2025-05-31,FY25,2025-05,UK,Sales,Payroll,5xxx,Indirect,Actual,58954.11,GBP
2025-05-31,FY25,2025-05,UK,Marketing,Payroll,5xxx,Indirect,Budget,8422.4,GBP
2025-05-31,FY25,2025-05,UK,Marketing,Payroll,5xxx,Indirect,Actual,8422.02,GBP
2025-05-31,FY25,2025-05,UK,Customer Success,Payroll,5xxx,Indirect,Budget,25267.2,GBP
2025-05-31,FY25,2025-05,UK,Customer Success,Payroll,5xxx,Indirect,Actual,25266.05,GBP
2025-05-31,FY25,2025-05,UK,Product,Payroll,5xxx,Indirect,Budget,16844.8,GBP
2025-05-31,FY25,2025-05,UK,Product,Payroll,5xxx,Indirect,Actual,16844.03,GBP
2025-05-31,FY25,2025-05,UK,Engineering,Payroll,5xxx,Indirect,Budget,25267.2,GBP
2025-05-31,FY25,2025-05,UK,Engineering,Payroll,5xxx,Indirect,Actual,25266.05,GBP
2025-05-31,FY25,2025-05,UK,IT Ops,Payroll,5xxx,Indirect,Budget,11791.36,GBP
2025-05-31,FY25,2025-05,UK,IT Ops,Payroll,5xxx,Indirect,Actual,11790.82,GBP
2025-05-31,FY25,2025-05,UK,Finance,Payroll,5xxx,Indirect,Budget,13475.84,GBP
2025-05-31,FY25,2025-05,UK,Finance,Payroll,5xxx,Indirect,Actual,13475.23,GBP
2025-05-31,FY25,2025-05,UK,HR,Payroll,5xxx,Indirect,Budget,8422.4,GBP
2025-05-31,FY25,2025-05,UK,HR,Payroll,5xxx,Indirect,Actual,8422.02,GBP
2025-05-31,FY25,2025-05,UK,Sales,Travel,5xxx,Indirect,Budget,2105.6,GBP
2025-05-31,FY25,2025-05,UK,Sales,Travel,5xxx,Indirect,Actual,2146.83,GBP
2025-05-31,FY25,2025-05,UK,Marketing,Travel,5xxx,Indirect,Budget,300.8,GBP
2025-05-31,FY25,2025-05,UK,Marketing,Travel,5xxx,Indirect,Actual,306.69,GBP
2025-05-31,FY25,2025-05,UK,Customer Success,Travel,5xxx,Indirect,Budget,902.4,GBP
2025-05-31,FY25,2025-05,UK,Customer Success,Travel,5xxx,Indirect,Actual,920.07,GBP
2025-05-31,FY25,2025-05,UK,Product,Travel,5xxx,Indirect,Budget,601.6,GBP
2025-05-31,FY25,2025-05,UK,Product,Travel,5xxx,Indirect,Actual,613.38,GBP
2025-05-31,FY25,2025-05,UK,Engineering,Travel,5xxx,Indirect,Budget,902.4,GBP
2025-05-31,FY25,2025-05,UK,Engineering,Travel,5xxx,Indirect,Actual,920.07,GBP
2025-05-31,FY25,2025-05,UK,IT Ops,Travel,5xxx,Indirect,Budget,421.12,GBP
2025-05-31,FY25,2025-05,UK,IT Ops,Travel,5xxx,Indirect,Actual,429.37,GBP
2025-05-31,FY25,2025-05,UK,Finance,Travel,5xxx,Indirect,Budget,481.28,GBP
2025-05-31,FY25,2025-05,UK,Finance,Travel,5xxx,Indirect,Actual,490.7,GBP
2025-05-31,FY25,2025-05,UK,HR,Travel,5xxx,Indirect,Budget,300.8,GBP
2025-05-31,FY25,2025-05,UK,HR,Travel,5xxx,Indirect,Actual,306.69,GBP
2025-05-31,FY25,2025-05,UK,Sales,Warehousing and Distribution,5xxx,Direct,Budget,2105.6,GBP
2025-05-31,FY25,2025-05,UK,Sales,Warehousing and Distribution,5xxx,Direct,Actual,2082.42,GBP
2025-05-31,FY25,2025-05,UK,Marketing,Warehousing and Distribution,5xxx,Direct,Budget,300.8,GBP
2025-05-31,FY25,2025-05,UK,Marketing,Warehousing and Distribution,5xxx,Direct,Actual,297.49,GBP
2025-05-31,FY25,2025-05,UK,Customer Success,Warehousing and Distribution,5xxx,Direct,Budget,902.4,GBP
2025-05-31,FY25,2025-05,UK,Customer Success,Warehousing and Distribution,5xxx,Direct,Actual,892.46,GBP
2025-05-31,FY25,2025-05,UK,Product,Warehousing and Distribution,5xxx,Direct,Budget,601.6,GBP
2025-05-31,FY25,2025-05,UK,Product,Warehousing and Distribution,5xxx,Direct,Actual,594.98,GBP
2025-05-31,FY25,2025-05,UK,Engineering,Warehousing and Distribution,5xxx,Direct,Budget,902.4,GBP
2025-05-31,FY25,2025-05,UK,Engineering,Warehousing and Distribution,5xxx,Direct,Actual,892.46,GBP
2025-05-31,FY25,2025-05,UK,IT Ops,Warehousing and Distribution,5xxx,Direct,Budget,421.12,GBP
2025-05-31,FY25,2025-05,UK,IT Ops,Warehousing and Distribution,5xxx,Direct,Actual,416.48,GBP
2025-05-31,FY25,2025-05,UK,Finance,Warehousing and Distribution,5xxx,Direct,Budget,481.28,GBP
2025-05-31,FY25,2025-05,UK,Finance,Warehousing and Distribution,5xxx,Direct,Actual,475.98,GBP
2025-05-31,FY25,2025-05,UK,HR,Warehousing and Distribution,5xxx,Direct,Budget,300.8,GBP
2025-05-31,FY25,2025-05,UK,HR,Warehousing and Distribution,5xxx,Direct,Actual,297.49,GBP
2025-06-30,FY25,2025-06,UK,Sales,Cost of Sales,5xxx,Direct,Budget,58060.8,GBP
2025-06-30,FY25,2025-06,UK,Sales,Cost of Sales,5xxx,Direct,Actual,59415.6,GBP
2025-06-30,FY25,2025-06,UK,Marketing,Cost of Sales,5xxx,Direct,Budget,8294.4,GBP
2025-06-30,FY25,2025-06,UK,Marketing,Cost of Sales,5xxx,Direct,Actual,8487.94,GBP
2025-06-30,FY25,2025-06,UK,Customer Success,Cost of Sales,5xxx,Direct,Budget,24883.2,GBP
2025-06-30,FY25,2025-06,UK,Customer Success,Cost of Sales,5xxx,Direct,Actual,25463.83,GBP
2025-06-30,FY25,2025-06,UK,Product,Cost of Sales,5xxx,Direct,Budget,16588.8,GBP
2025-06-30,FY25,2025-06,UK,Product,Cost of Sales,5xxx,Direct,Actual,16975.89,GBP
2025-06-30,FY25,2025-06,UK,Engineering,Cost of Sales,5xxx,Direct,Budget,24883.2,GBP
2025-06-30,FY25,2025-06,UK,Engineering,Cost of Sales,5xxx,Direct,Actual,25463.83,GBP
2025-06-30,FY25,2025-06,UK,IT Ops,Cost of Sales,5xxx,Direct,Budget,11612.16,GBP
2025-06-30,FY25,2025-06,UK,IT Ops,Cost of Sales,5xxx,Direct,Actual,11883.12,GBP
2025-06-30,FY25,2025-06,UK,Finance,Cost of Sales,5xxx,Direct,Budget,13271.04,GBP
2025-06-30,FY25,2025-06,UK,Finance,Cost of Sales,5xxx,Direct,Actual,13580.71,GBP
2025-06-30,FY25,2025-06,UK,HR,Cost of Sales,5xxx,Direct,Budget,8294.4,GBP
2025-06-30,FY25,2025-06,UK,HR,Cost of Sales,5xxx,Direct,Actual,8487.94,GBP
2025-06-30,FY25,2025-06,UK,Sales,Marketing,5xxx,Indirect,Budget,38707.2,GBP
2025-06-30,FY25,2025-06,UK,Sales,Marketing,5xxx,Indirect,Actual,37965.8,GBP
2025-06-30,FY25,2025-06,UK,Marketing,Marketing,5xxx,Indirect,Budget,5529.6,GBP
2025-06-30,FY25,2025-06,UK,Marketing,Marketing,5xxx,Indirect,Actual,5423.69,GBP
2025-06-30,FY25,2025-06,UK,Customer Success,Marketing,5xxx,Indirect,Budget,16588.8,GBP
2025-06-30,FY25,2025-06,UK,Customer Success,Marketing,5xxx,Indirect,Actual,16271.06,GBP
2025-06-30,FY25,2025-06,UK,Product,Marketing,5xxx,Indirect,Budget,11059.2,GBP
2025-06-30,FY25,2025-06,UK,Product,Marketing,5xxx,Indirect,Actual,10847.37,GBP
2025-06-30,FY25,2025-06,UK,Engineering,Marketing,5xxx,Indirect,Budget,16588.8,GBP
2025-06-30,FY25,2025-06,UK,Engineering,Marketing,5xxx,Indirect,Actual,16271.06,GBP
2025-06-30,FY25,2025-06,UK,IT Ops,Marketing,5xxx,Indirect,Budget,7741.44,GBP
2025-06-30,FY25,2025-06,UK,IT Ops,Marketing,5xxx,Indirect,Actual,7593.16,GBP
2025-06-30,FY25,2025-06,UK,Finance,Marketing,5xxx,Indirect,Budget,8847.36,GBP
2025-06-30,FY25,2025-06,UK,Finance,Marketing,5xxx,Indirect,Actual,8677.9,GBP
2025-06-30,FY25,2025-06,UK,HR,Marketing,5xxx,Indirect,Budget,5529.6,GBP
2025-06-30,FY25,2025-06,UK,HR,Marketing,5xxx,Indirect,Actual,5423.69,GBP
2025-06-30,FY25,2025-06,UK,Sales,IT Services,5xxx,Indirect,Budget,12902.4,GBP
2025-06-30,FY25,2025-06,UK,Sales,IT Services,5xxx,Indirect,Actual,12711.18,GBP
2025-06-30,FY25,2025-06,UK,Marketing,IT Services,5xxx,Indirect,Budget,1843.2,GBP
2025-06-30,FY25,2025-06,UK,Marketing,IT Services,5xxx,Indirect,Actual,1815.88,GBP
2025-06-30,FY25,2025-06,UK,Customer Success,IT Services,5xxx,Indirect,Budget,5529.6,GBP
2025-06-30,FY25,2025-06,UK,Customer Success,IT Services,5xxx,Indirect,Actual,5447.65,GBP
2025-06-30,FY25,2025-06,UK,Product,IT Services,5xxx,Indirect,Budget,3686.4,GBP
2025-06-30,FY25,2025-06,UK,Product,IT Services,5xxx,Indirect,Actual,3631.77,GBP
2025-06-30,FY25,2025-06,UK,Engineering,IT Services,5xxx,Indirect,Budget,5529.6,GBP
2025-06-30,FY25,2025-06,UK,Engineering,IT Services,5xxx,Indirect,Actual,5447.65,GBP
2025-06-30,FY25,2025-06,UK,IT Ops,IT Services,5xxx,Indirect,Budget,2580.48,GBP
2025-06-30,FY25,2025-06,UK,IT Ops,IT Services,5xxx,Indirect,Actual,2542.24,GBP
2025-06-30,FY25,2025-06,UK,Finance,IT Services,5xxx,Indirect,Budget,2949.12,GBP
2025-06-30,FY25,2025-06,UK,Finance,IT Services,5xxx,Indirect,Actual,2905.41,GBP
2025-06-30,FY25,2025-06,UK,HR,IT Services,5xxx,Indirect,Budget,1843.2,GBP
2025-06-30,FY25,2025-06,UK,HR,IT Services,5xxx,Indirect,Actual,1815.88,GBP
2025-06-30,FY25,2025-06,UK,Sales,Professional Services,5xxx,Direct,Budget,12902.4,GBP
2025-06-30,FY25,2025-06,UK,Sales,Professional Services,5xxx,Direct,Actual,12542.87,GBP
2025-06-30,FY25,2025-06,UK,Marketing,Professional Services,5xxx,Direct,Budget,1843.2,GBP
2025-06-30,FY25,2025-06,UK,Marketing,Professional Services,5xxx,Direct,Actual,1791.84,GBP
2025-06-30,FY25,2025-06,UK,Customer Success,Professional Services,5xxx,Direct,Budget,5529.6,GBP
2025-06-30,FY25,2025-06,UK,Customer Success,Professional Services,5xxx,Direct,Actual,5375.51,GBP
2025-06-30,FY25,2025-06,UK,Product,Professional Services,5xxx,Direct,Budget,3686.4,GBP
2025-06-30,FY25,2025-06,UK,Product,Professional Services,5xxx,Direct,Actual,3583.68,GBP
2025-06-30,FY25,2025-06,UK,Engineering,Professional Services,5xxx,Direct,Budget,5529.6,GBP
2025-06-30,FY25,2025-06,UK,Engineering,Professional Services,5xxx,Direct,Actual,5375.51,GBP
2025-06-30,FY25,2025-06,UK,IT Ops,Professional Services,5xxx,Direct,Budget,2580.48,GBP
2025-06-30,FY25,2025-06,UK,IT Ops,Professional Services,5xxx,Direct,Actual,2508.57,GBP
2025-06-30,FY25,2025-06,UK,Finance,Professional Services,5xxx,Direct,Budget,2949.12,GBP
2025-06-30,FY25,2025-06,UK,Finance,Professional Services,5xxx,Direct,Actual,2866.94,GBP
2025-06-30,FY25,2025-06,UK,HR,Professional Services,5xxx,Direct,Budget,1843.2,GBP
2025-06-30,FY25,2025-06,UK,HR,Professional Services,5xxx,Direct,Actual,1791.84,GBP
2025-06-30,FY25,2025-06,UK,Sales,Payroll,5xxx,Indirect,Budget,60211.2,GBP
2025-06-30,FY25,2025-06,UK,Sales,Payroll,5xxx,Indirect,Actual,61448.91,GBP
2025-06-30,FY25,2025-06,UK,Marketing,Payroll,5xxx,Indirect,Budget,8601.6,GBP
2025-06-30,FY25,2025-06,UK,Marketing,Payroll,5xxx,Indirect,Actual,8778.42,GBP
2025-06-30,FY25,2025-06,UK,Customer Success,Payroll,5xxx,Indirect,Budget,25804.8,GBP
2025-06-30,FY25,2025-06,UK,Customer Success,Payroll,5xxx,Indirect,Actual,26335.25,GBP
2025-06-30,FY25,2025-06,UK,Product,Payroll,5xxx,Indirect,Budget,17203.2,GBP
2025-06-30,FY25,2025-06,UK,Product,Payroll,5xxx,Indirect,Actual,17556.83,GBP
2025-06-30,FY25,2025-06,UK,Engineering,Payroll,5xxx,Indirect,Budget,25804.8,GBP
2025-06-30,FY25,2025-06,UK,Engineering,Payroll,5xxx,Indirect,Actual,26335.25,GBP
2025-06-30,FY25,2025-06,UK,IT Ops,Payroll,5xxx,Indirect,Budget,12042.24,GBP
2025-06-30,FY25,2025-06,UK,IT Ops,Payroll,5xxx,Indirect,Actual,12289.78,GBP
2025-06-30,FY25,2025-06,UK,Finance,Payroll,5xxx,Indirect,Budget,13762.56,GBP
2025-06-30,FY25,2025-06,UK,Finance,Payroll,5xxx,Indirect,Actual,14045.47,GBP
2025-06-30,FY25,2025-06,UK,HR,Payroll,5xxx,Indirect,Budget,8601.6,GBP
2025-06-30,FY25,2025-06,UK,HR,Payroll,5xxx,Indirect,Actual,8778.42,GBP
2025-06-30,FY25,2025-06,UK,Sales,Travel,5xxx,Indirect,Budget,2150.4,GBP
2025-06-30,FY25,2025-06,UK,Sales,Travel,5xxx,Indirect,Actual,2203.98,GBP
2025-06-30,FY25,2025-06,UK,Marketing,Travel,5xxx,Indirect,Budget,307.2,GBP
2025-06-30,FY25,2025-06,UK,Marketing,Travel,5xxx,Indirect,Actual,314.85,GBP
2025-06-30,FY25,2025-06,UK,Customer Success,Travel,5xxx,Indirect,Budget,921.6,GBP
2025-06-30,FY25,2025-06,UK,Customer Success,Travel,5xxx,Indirect,Actual,944.56,GBP
2025-06-30,FY25,2025-06,UK,Product,Travel,5xxx,Indirect,Budget,614.4,GBP
2025-06-30,FY25,2025-06,UK,Product,Travel,5xxx,Indirect,Actual,629.71,GBP
2025-06-30,FY25,2025-06,UK,Engineering,Travel,5xxx,Indirect,Budget,921.6,GBP
2025-06-30,FY25,2025-06,UK,Engineering,Travel,5xxx,Indirect,Actual,944.56,GBP
2025-06-30,FY25,2025-06,UK,IT Ops,Travel,5xxx,Indirect,Budget,430.08,GBP
2025-06-30,FY25,2025-06,UK,IT Ops,Travel,5xxx,Indirect,Actual,440.8,GBP
2025-06-30,FY25,2025-06,UK,Finance,Travel,5xxx,Indirect,Budget,491.52,GBP
2025-06-30,FY25,2025-06,UK,Finance,Travel,5xxx,Indirect,Actual,503.77,GBP
2025-06-30,FY25,2025-06,UK,HR,Travel,5xxx,Indirect,Budget,307.2,GBP
2025-06-30,FY25,2025-06,UK,HR,Travel,5xxx,Indirect,Actual,314.85,GBP
2025-06-30,FY25,2025-06,UK,Sales,Warehousing and Distribution,5xxx,Direct,Budget,2150.4,GBP
2025-06-30,FY25,2025-06,UK,Sales,Warehousing and Distribution,5xxx,Direct,Actual,2209.64,GBP
2025-06-30,FY25,2025-06,UK,Marketing,Warehousing and Distribution,5xxx,Direct,Budget,307.2,GBP
2025-06-30,FY25,2025-06,UK,Marketing,Warehousing and Distribution,5xxx,Direct,Actual,315.66,GBP
2025-06-30,FY25,2025-06,UK,Customer Success,Warehousing and Distribution,5xxx,Direct,Budget,921.6,GBP
2025-06-30,FY25,2025-06,UK,Customer Success,Warehousing and Distribution,5xxx,Direct,Actual,946.99,GBP
2025-06-30,FY25,2025-06,UK,Product,Warehousing and Distribution,5xxx,Direct,Budget,614.4,GBP
2025-06-30,FY25,2025-06,UK,Product,Warehousing and Distribution,5xxx,Direct,Actual,631.33,GBP
2025-06-30,FY25,2025-06,UK,Engineering,Warehousing and Distribution,5xxx,Direct,Budget,921.6,GBP
2025-06-30,FY25,2025-06,UK,Engineering,Warehousing and Distribution,5xxx,Direct,Actual,946.99,GBP
2025-06-30,FY25,2025-06,UK,IT Ops,Warehousing and Distribution,5xxx,Direct,Budget,430.08,GBP
2025-06-30,FY25,2025-06,UK,IT Ops,Warehousing and Distribution,5xxx,Direct,Actual,441.93,GBP
2025-06-30,FY25,2025-06,UK,Finance,Warehousing and Distribution,5xxx,Direct,Budget,491.52,GBP
2025-06-30,FY25,2025-06,UK,Finance,Warehousing and Distribution,5xxx,Direct,Actual,505.06,GBP
2025-06-30,FY25,2025-06,UK,HR,Warehousing and Distribution,5xxx,Direct,Budget,307.2,GBP
2025-06-30,FY25,2025-06,UK,HR,Warehousing and Distribution,5xxx,Direct,Actual,315.66,GBP
2025-07-31,FY25,2025-07,UK,Sales,Cost of Sales,5xxx,Direct,Budget,59270.4,GBP
2025-07-31,FY25,2025-07,UK,Sales,Cost of Sales,5xxx,Direct,Actual,60996.04,GBP
2025-07-31,FY25,2025-07,UK,Marketing,Cost of Sales,5xxx,Direct,Budget,8467.2,GBP
2025-07-31,FY25,2025-07,UK,Marketing,Cost of Sales,5xxx,Direct,Actual,8713.72,GBP
2025-07-31,FY25,2025-07,UK,Customer Success,Cost of Sales,5xxx,Direct,Budget,25401.6,GBP
2025-07-31,FY25,2025-07,UK,Customer Success,Cost of Sales,5xxx,Direct,Actual,26141.16,GBP
2025-07-31,FY25,2025-07,UK,Product,Cost of Sales,5xxx,Direct,Budget,16934.4,GBP
2025-07-31,FY25,2025-07,UK,Product,Cost of Sales,5xxx,Direct,Actual,17427.44,GBP
2025-07-31,FY25,2025-07,UK,Engineering,Cost of Sales,5xxx,Direct,Budget,25401.6,GBP
2025-07-31,FY25,2025-07,UK,Engineering,Cost of Sales,5xxx,Direct,Actual,26141.16,GBP
2025-07-31,FY25,2025-07,UK,IT Ops,Cost of Sales,5xxx,Direct,Budget,11854.08,GBP
2025-07-31,FY25,2025-07,UK,IT Ops,Cost of Sales,5xxx,Direct,Actual,12199.21,GBP
2025-07-31,FY25,2025-07,UK,Finance,Cost of Sales,5xxx,Direct,Budget,13547.52,GBP
2025-07-31,FY25,2025-07,UK,Finance,Cost of Sales,5xxx,Direct,Actual,13941.95,GBP
2025-07-31,FY25,2025-07,UK,HR,Cost of Sales,5xxx,Direct,Budget,8467.2,GBP
2025-07-31,FY25,2025-07,UK,HR,Cost of Sales,5xxx,Direct,Actual,8713.72,GBP
2025-07-31,FY25,2025-07,UK,Sales,Marketing,5xxx,Indirect,Budget,39513.6,GBP
2025-07-31,FY25,2025-07,UK,Sales,Marketing,5xxx,Indirect,Actual,39973.53,GBP
2025-07-31,FY25,2025-07,UK,Marketing,Marketing,5xxx,Indirect,Budget,5644.8,GBP
2025-07-31,FY25,2025-07,UK,Marketing,Marketing,5xxx,Indirect,Actual,5710.5,GBP
2025-07-31,FY25,2025-07,UK,Customer Success,Marketing,5xxx,Indirect,Budget,16934.4,GBP
2025-07-31,FY25,2025-07,UK,Customer Success,Marketing,5xxx,Indirect,Actual,17131.51,GBP
2025-07-31,FY25,2025-07,UK,Product,Marketing,5xxx,Indirect,Budget,11289.6,GBP
2025-07-31,FY25,2025-07,UK,Product,Marketing,5xxx,Indirect,Actual,11421.01,GBP
2025-07-31,FY25,2025-07,UK,Engineering,Marketing,5xxx,Indirect,Budget,16934.4,GBP
2025-07-31,FY25,2025-07,UK,Engineering,Marketing,5xxx,Indirect,Actual,17131.51,GBP
2025-07-31,FY25,2025-07,UK,IT Ops,Marketing,5xxx,Indirect,Budget,7902.72,GBP
2025-07-31,FY25,2025-07,UK,IT Ops,Marketing,5xxx,Indirect,Actual,7994.71,GBP
2025-07-31,FY25,2025-07,UK,Finance,Marketing,5xxx,Indirect,Budget,9031.68,GBP
2025-07-31,FY25,2025-07,UK,Finance,Marketing,5xxx,Indirect,Actual,9136.81,GBP
2025-07-31,FY25,2025-07,UK,HR,Marketing,5xxx,Indirect,Budget,5644.8,GBP
2025-07-31,FY25,2025-07,UK,HR,Marketing,5xxx,Indirect,Actual,5710.5,GBP
2025-07-31,FY25,2025-07,UK,Sales,IT Services,5xxx,Indirect,Budget,13171.2,GBP
2025-07-31,FY25,2025-07,UK,Sales,IT Services,5xxx,Indirect,Actual,13455.73,GBP
2025-07-31,FY25,2025-07,UK,Marketing,IT Services,5xxx,Indirect,Budget,1881.6,GBP
2025-07-31,FY25,2025-07,UK,Marketing,IT Services,5xxx,Indirect,Actual,1922.25,GBP
2025-07-31,FY25,2025-07,UK,Customer Success,IT Services,5xxx,Indirect,Budget,5644.8,GBP
2025-07-31,FY25,2025-07,UK,Customer Success,IT Services,5xxx,Indirect,Actual,5766.74,GBP
2025-07-31,FY25,2025-07,UK,Product,IT Services,5xxx,Indirect,Budget,3763.2,GBP
2025-07-31,FY25,2025-07,UK,Product,IT Services,5xxx,Indirect,Actual,3844.49,GBP
2025-07-31,FY25,2025-07,UK,Engineering,IT Services,5xxx,Indirect,Budget,5644.8,GBP
2025-07-31,FY25,2025-07,UK,Engineering,IT Services,5xxx,Indirect,Actual,5766.74,GBP
2025-07-31,FY25,2025-07,UK,IT Ops,IT Services,5xxx,Indirect,Budget,2634.24,GBP
